Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,SleepEfficiency
3977333714,2016-05-10T00:00:00Z,1,312,452,0.6902654867256637
1503960366,2016-04-17T00:00:00Z,1,700,712,0.9831460674157304
4702921684,2016-04-25T00:00:00Z,1,370,380,0.9736842105263158
7086361926,2016-04-26T00:00:00Z,1,485,500,0.97
7086361926,2016-05-11T00:00:00Z,1,451,463,0.9740820734341252
5577150313,2016-04-13T00:00:00Z,1,432,458,0.9432314410480348
6962181067,2016-04-21T00:00:00Z,1,451,457,0.986870897155361
6117666160,2016-05-06T00:00:00Z,2,658,698,0.9426934097421203
1503960366,2016-05-10T00:00:00Z,1,383,403,0.9503722084367244
4388161847,2016-05-01T00:00:00Z,1,547,597,0.916247906197655
